Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,11-08-2021,06:00 PM,Kerala,1,0,0,0,1
2,11-08-2021,06:00 PM,Kerala,1,0,0,0,1
3,11-08-2021,06:00 PM,Kerala,2,0,0,0,2
4,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
5,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
6,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
7,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
8,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
9,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
10,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
11,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
12,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
13,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
14,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
15,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
16,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
17,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
18,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
19,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
20,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
21,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
22,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
23,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
24,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
25,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
26,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
27,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
28,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
29,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
30,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
31,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
32,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
33,11-08-2021,06:00 PM,Telengana,1,0,0,0,1
34,11-08-2021,06:00 PM,Kerala,3,0,0,0,3
35,11-08-2021,06:00 PM,Delhi,1,0,0,0,1
36,11-08-2021,06:00 PM,Telengana,1,0,0,0,1
37,10-08-2021,06:00 PM,Rajasthan,0,1,0,0,1
38,10-08-2021,06:00 PM,Kerala,3,0,3,0,3
39,10-08-2021,06:00 PM,Delhi,1,0,0,0,1
40,10-08-2021,06:00 PM,Uttar Pradesh,6,0,0,0,6
41,10-08-2021,06:00 PM,Kerala,3,0,3,0,3
42,10-08-2021,06:00 PM,Haryana,0,2,0,0,2
43,10-08-2021,06:00 PM,Delhi,1,0,0,0,1
44,10-08-2021,06:00 PM,Telengana,1,0,0,0,1
45,10-08-2021,06:00 PM,Rajasthan,1,14,0,0,15
46,10-08-2021,06:00 PM,Delhi,2,0,0,0,2
47,10-08-2021,06:00 PM,Haryana,0,2,0,0,2
